N,depth,density,distance
866,7,0.0,57
867,7,0.0,20
868,7,0.0,18
869,7,0.0,23
870,7,0.0,39
871,7,0.0,68
872,7,0.0,50
873,7,0.0,35
874,7,0.0,33
875,7,0.0,66
876,7,0.0,60
877,7,0.0,39
878,7,0.0,55
879,7,0.0,20
880,7,0.0,110
881,7,0.0,15
882,7,0.0,24
883,7,0.0,61
884,7,0.0,35
885,7,0.0,31
886,7,0.0,45
887,7,0.0,51
888,7,0.0,12
889,7,0.0,20
890,7,0.0,63
891,7,0.0,35
892,7,0.0,38
893,7,0.0,65
894,7,0.0,7
895,7,0.0,44
896,7,0.0,23
897,7,0.0,31
898,7,0.0,32
899,7,0.0,8
900,7,0.0,50
901,7,0.0,43
902,7,0.0,50
903,7,0.0,80
904,7,0.0,49
905,7,0.0,27
906,7,0.0,17
907,7,0.0,37
908,7,0.0,38
909,7,0.0,47
910,7,0.0,10
911,7,0.0,28
912,7,0.0,15
913,7,0.0,63
914,7,0.0,42
915,7,0.0,36
916,7,0.0,16
917,7,0.0,23
918,7,0.0,7
919,7,0.0,77
920,7,0.0,46
921,7,0.0,58
922,7,0.0,65
923,7,0.0,98
924,7,0.0,42
925,7,0.0,54
926,7,0.0,35
927,7,0.0,59
928,7,0.0,84
929,7,0.0,84
930,7,0.0,40
931,7,0.0,31
932,7,0.0,40
933,7,0.0,38
934,7,0.0,71
935,7,0.0,27
936,7,0.0,24
937,7,0.0,45
938,7,0.0,62
939,7,0.0,80
940,7,0.0,58
941,7,0.0,70
942,7,0.0,26
943,7,0.0,35
944,7,0.0,62
945,7,0.0,52
946,7,0.0,41
947,7,0.0,22
948,7,0.0,26
949,7,0.0,76
950,7,0.0,16
951,7,0.0,42
952,7,0.0,57
953,7,0.0,13
954,7,0.0,17
955,7,0.0,7
956,7,0.0,65
957,7,0.0,76
958,7,0.0,59
959,7,0.0,17
960,7,0.0,69
961,7,0.0,52
962,7,0.0,9
963,7,0.0,63
964,7,0.0,10
965,7,0.0,18
966,7,0.0,51
967,7,0.0,19
968,7,0.0,10
969,7,0.0,71
970,7,0.0,65
971,7,0.0,24
972,7,0.0,74
973,7,0.0,84
974,7,0.0,37
975,7,0.0,53
976,7,0.0,48
977,7,0.0,27
978,7,0.0,34
979,7,0.0,28
980,7,0.0,10
981,7,0.0,14
982,7,0.0,36
983,7,0.0,42
984,7,0.0,33
985,7,0.0,61
986,7,0.0,37
987,7,0.0,65
988,7,0.0,36
989,7,0.0,65
990,7,0.0,66
991,7,0.0,9
992,7,0.0,31
993,7,0.0,48
994,7,0.0,29
995,7,0.0,17
996,7,0.0,1
997,7,0.0,72
998,7,0.0,20
999,7,0.0,49
1000,7,0.01,21
1001,7,0.01,64
1002,7,0.01,27
1003,7,0.01,53
1004,7,0.01,22
1005,7,0.01,26
1006,7,0.01,69
1007,7,0.01,53
1008,7,0.01,24
1009,7,0.01,47
1010,7,0.01,8
1011,7,0.01,67
1012,7,0.01,7
1013,7,0.01,89
1014,7,0.01,47
1015,7,0.01,24
1016,7,0.01,19
1017,7,0.01,15
1018,7,0.01,28
1019,7,0.01,85
1020,7,0.01,47
1021,7,0.01,75
1022,7,0.01,49
1023,7,0.01,69
1024,7,0.01,44
1025,7,0.01,38
1026,7,0.01,62
1027,7,0.01,69
1028,7,0.01,62
1029,7,0.01,18
1030,7,0.01,40
1031,7,0.01,73
1032,7,0.01,80
1033,7,0.01,15
1034,7,0.01,54
1035,7,0.01,36
1036,7,0.01,21
1037,7,0.01,49
1038,7,0.01,17
1039,7,0.01,33
1040,7,0.01,20
1041,7,0.01,11
1042,7,0.01,25
1043,7,0.01,26
1044,7,0.01,37
1045,7,0.01,38
1046,7,0.01,62
1047,7,0.01,24
1048,7,0.01,82
1049,7,0.01,54
1050,7,0.01,76
1051,7,0.01,34
1052,7,0.01,19
1053,7,0.01,9
1054,7,0.01,71
1055,7,0.01,2
1056,7,0.01,22
1057,7,0.01,43
1058,7,0.01,26
1059,7,0.01,57
1060,7,0.01,11
1061,7,0.01,67
